groupId,id,websiteDisplay,202402websiteDisplay,,Comment
Unique id of the group which include the subdivision. NB: A subdivision can be included in several groups.,Unique id used in the stat files. Called snowtod_id in the shapefiles,"1: link displayed on the website, even if the results for the group shouldn’t be displayed.","Previous version as a reminder 1: link displayed on the website, even if the results for the group shouldn’t be displayed.",,0
26000,11724,2,1,,
26000,11725,2,2,,
26000,11726,2,2,,
26000,11734,2,1,,
26000,11747,2,1,,
26000,11750,2,1,,
26000,11754,2,1,,
26000,11753,2,1,,
26000,11758,2,1,,
26000,11762,2,1,,
26000,11765,2,1,,
26000,11768,2,1,,
26000,11771,2,1,,
26001,11721,0,0,,
26001,3701,0,0,,
26001,3702,0,0,,
26001,3713,0,0,,
26001,3707,0,0,,
26002,2001,1,1,,
26002,2036,1,1,,
26002,2040,0,0,,
26002,2120,0,0,,
26002,2122,0,0,,
26002,2132,0,0,,
26002,2135,1,1,,
26002,2163,0,0,,
26002,2165,0,0,,
26002,2180,1,1,,
26002,2186,1,1,,
26002,2228,1,1,,
26002,2229,1,1,,
26002,2248,1,1,,
26004,2006,0,0,,
26004,2030,0,0,,
26004,2044,1,2,,
26004,2067,1,1,,
26004,2188,1,1,,
26100,11721,0,0,,
26101,2039,0,0,,
26102,2006,0,0,,
26103,2030,0,0,,
26104,2040,0,0,,
26105,2120,0,0,,
26106,2163,0,0,,
26107,2165,0,0,,
26108,2122,0,0,,
26109,2132,0,0,,
26001,26100,0,0,,
26001,26101,0,0,,
26002,26104,1,1,,
26002,26105,1,1,,
26002,26106,1,1,,
26002,26107,1,1,,
26002,26108,1,1,,
26002,26109,1,1,,
26004,26102,1,2,,
26004,26103,1,1,,
11721,26100,0,0,,
2039,26101,0,0,,
2040,26104,1,1,,
2120,26105,1,1,,
2163,26106,1,1,,
2165,26107,1,1,,
2122,26108,1,1,,
2132,26109,1,1,,
2006,26102,1,2,,
2030,26103,1,1,,
,,,,,
26102,2684,1,2,,
26102,2689,1,1,,
26102,2691,1,1,,
26102,2692,1,1,,
26102,2695,1,1,,
26102,2696,1,1,,
26102,2699,1,1,,
26102,2700,0,0,,
26102,2704,1,1,,
26103,3462,1,1,,
26103,3463,1,1,,
26103,3464,1,1,,
26103,3466,1,1,,
26103,3467,1,1,,
26103,3469,1,1,,
26101,3701,1,2,,
26101,3702,1,1,,Was 0…
26101,3707,1,1,,Was 0…
26101,3713,1,1,,Was 0…
26104,3746,1,1,,
26104,3760,1,1,,
26104,3761,1,1,,
26104,3762,1,1,,
26104,3769,1,1,,
26104,3770,1,1,,
2067,4661,1,1,,
2067,4662,1,1,,
2067,4663,1,1,,
2067,4666,1,1,,
2067,4668,1,1,,
2067,4669,1,1,,
2067,4670,1,1,,
2067,4672,1,1,,
2067,4673,1,1,,
2067,4674,1,1,,
2067,4679,1,1,,
2067,4682,1,1,,
26105,6563,1,1,,
26105,6572,1,1,,
26105,6575,1,1,,
26105,6578,1,1,,
26105,6582,1,1,,
26105,6585,1,1,,
26105,6590,1,1,,
26105,6595,1,1,,
26106,8441,1,1,,
26106,8448,1,1,,
26107,8525,1,1,,
26107,8526,1,1,,
26107,8532,1,1,,
26107,8537,1,1,,
26107,8538,1,1,,
26107,8539,1,1,,
26107,8540,1,1,,
26107,8541,1,1,,
2186,9282,1,1,,
2186,9284,1,1,,
2186,9285,1,1,,
2188,9341,1,1,,
2188,9342,1,1,,
2188,9343,1,1,,
2188,9344,1,1,,
2188,9345,1,1,,
2188,9346,1,1,,
2188,9348,1,1,,
2188,9349,1,1,,
2188,9350,1,1,,
2188,9351,1,1,,
2188,9352,1,1,,
2188,9353,1,1,,
2188,9354,1,1,,
2188,9355,1,1,,
2188,9359,1,1,,
2188,9360,1,1,,
2188,9361,1,1,,
2188,9362,1,1,,
2188,9363,1,1,,
2188,9364,1,1,,
2188,9365,1,1,,
2044,3908,1,2,,
,,,,,
,,,,,
26000,12509,2,1,,
26000,12510,2,1,,
26000,12512,2,1,,
26000,12513,2,1,,
26000,12514,2,1,,
26000,12515,2,1,,
26000,12516,2,2,,
26000,12517,2,2,,
,,,,,
12509,12712,2,1,,
12509,12713,2,1,,
12509,12714,2,1,,
12509,12715,2,1,,
12509,12716,2,1,,
12509,12717,2,1,,
12509,12718,2,1,,
12509,12719,2,1,,
12509,12720,2,1,,
12509,12721,2,1,,
12509,12722,2,1,,
12509,12723,2,1,,
12509,12724,2,1,,
12509,12725,2,1,,
12509,12726,2,1,,
12509,12727,2,1,,
12509,12728,2,1,,
12509,12729,2,1,,
12509,12730,2,1,,
12509,12731,2,1,,
12509,12732,2,1,,
12509,12733,2,1,,
12509,12734,2,1,,
12509,12735,2,1,,
12509,12736,2,1,,
12509,12737,2,1,,
12509,12738,2,1,,
12510,12742,2,1,,
12510,12743,2,1,,
12510,12744,2,1,,
12510,12748,2,1,,
12510,12749,2,1,,
12510,12750,2,1,,
12510,12752,2,1,,
12510,12753,2,1,,
12512,12766,2,1,,
12512,12767,2,1,,
12512,12768,2,1,,
12512,12769,2,1,,
12512,12770,2,1,,
12512,12771,2,1,,
12512,12772,2,1,,
12512,12775,2,1,,
12513,12778,2,1,,
12513,12779,2,1,,
12513,12780,2,1,,
12513,12781,2,1,,
12513,12782,2,1,,
12513,12783,2,1,,
12513,12784,2,1,,
12513,12785,2,1,,
12514,12786,2,1,,
12514,12787,2,1,,
12514,12788,2,1,,
12514,12789,2,1,,
12514,12790,2,1,,
12514,12791,2,1,,
12514,12792,2,1,,
12514,12793,2,1,,
12515,12794,2,1,,
12515,12795,2,1,,
12515,12796,2,1,,
12515,12797,2,1,,
12515,12798,2,1,,
12515,12799,2,1,,
12516,12800,2,1,,
12516,12801,2,1,,
12516,12802,2,1,,
12516,12803,2,1,,
12516,12804,2,1,,
12516,12805,2,1,,
12516,12806,2,1,,
12516,12807,2,2,,
12516,12808,2,1,,
12516,12809,2,2,,
12516,12810,2,1,,
12516,12811,2,1,,
12517,12812,2,1,,
12517,12813,2,1,,
12517,12814,2,1,,
12517,12815,2,2,,
12517,12816,2,1,,
12517,12817,2,1,,
12517,12818,2,1,,
12517,12819,2,1,,
12517,12820,2,1,,
12517,12821,2,1,,
,,,,,
26001,12518,0,0,,
26100,12518,1,2,,
12518,12822,1,1,,
12518,12823,1,1,,
12518,12824,1,1,,
12518,12825,1,2,,
12518,12826,1,1,,
12518,12827,1,1,,
12518,12828,1,1,,
12518,12829,1,1,,
,,,,,
12823,13351,1,1,,
12823,13352,1,1,,
12822,13353,1,1,,
12827,13354,1,1,,
12825,13355,1,2,,
12822,13356,1,1,,
12822,13357,1,1,,
12823,13358,1,1,,
12827,13359,1,1,,
12823,13360,1,1,,
12823,13361,1,1,,
12823,13362,1,1,,
12826,13363,1,1,,
12824,13364,1,1,,
12826,13365,1,1,,
12822,13366,1,1,,
12829,13367,1,1,,
12825,13368,1,2,,
12823,13369,1,1,,
12828,13370,1,1,,
12826,13371,1,1,,
12824,13372,1,1,,
12828,13373,1,1,,
12828,13374,1,1,,
