inputDataLabel,outputDataLabel,inputVersion,outputVersion,varId,used,name,nameWithinFile,datasetGroupPath,bitPosition,bitCount,type,divisor,unit,min,max,nodata_value,nodata_value2,resamplingFactor,comment,Comment_2
Data label of the file used as an input,Data label of the file generated as an output,version of the input,Version of the output,Unique id of the output variable,"1: included in the generation, 0: excluded",,Field name in the file,For .h5 files,,,,,,,,,,1: 2400x2400 for mod09ga. 2: 1200x1200,0,
,,,,,,,,,,,,,,,,,,,,
VariablesMatlab,VariablesMatlab,v2025.0.1,v2025.0.1,48,1,albedo_clean_mu0,,,,,uint8,1,percent,0,100,255,,1,,
VariablesMatlab,VariablesMatlab,v2025.0.1,v2025.0.1,49,1,albedo_observed_mu0,,,,,uint8,1,percent,0,100,255,,1,,
VariablesMatlab,VariablesMatlab,v2025.0.1,v2025.0.1,50,1,albedo_clean_muZ,,,,,uint8,1,percent,0,100,255,,1,,
VariablesMatlab,VariablesMatlab,v2025.0.1,v2025.0.1,51,1,albedo_observed_muZ,,,,,uint8,1,percent,0,100,255,,1,,
VariablesMatlab,VariablesMatlab,v2025.0.1,v2025.0.1,43,1,deltavis,,,,,uint8,1,percent,0,75,255,,1,,
VariablesMatlab,VariablesMatlab,v2025.0.1,v2025.0.1,41,1,grain_size,,,,,uint16,1,microns,10,1100,65535,,1,,
VariablesMatlab,VariablesMatlab,v2025.0.1,v2025.0.1,42,1,drfs_grnsz,,,,,uint16,1,microns,10,1100,65535,,1,,
VariablesMatlab,VariablesMatlab,v2025.0.1,v2025.0.1,44,1,radiative_forcing,,,,,uint16,1,W/m^2,0,500,65535,,1,,
VariablesMatlab,VariablesMatlab,v2025.0.1,v2025.0.1,13,1,solar_azimuth,,,,,int16,1,degree,-180,180,32767,,1,,
VariablesMatlab,VariablesMatlab,v2025.0.1,v2025.0.1,14,1,solar_zenith,,,,,uint8,1,degree,0,90,255,,1,,
VariablesMatlab,VariablesMatlab,v2025.0.1,v2025.0.1,45,0,snow_cover_days,,,,,uint16,1,day,0,366,65535,,1,,
VariablesMatlab,VariablesMatlab,v2025.0.1,v2025.0.1,40,1,snow_fraction,,,,,uint8,1,percent,0,100,255,,1,,
VariablesMatlab,VariablesMatlab,v2025.0.1,v2025.0.1,36,1,viewable_snow_fraction,,,,,uint8,1,percent,0,100,255,,1,,
VariablesMatlab,VariablesMatlab,v2025.0.1,v2025.0.1,46,1,viewable_snow_fraction_status,,,,,uint8,1,unitless,0,255,255,,1,,
VariablesMatlab,VariablesMatlab,v2025.0.1,v2025.0.1,47,1,days_without_observation,,,,,uint16,1,day,0,366,65535,,1,,
VariablesMatlab,VariablesMatlab,v2025.0.1,v2025.0.1,75,1,days_since_last_observation,,,,,uint16,1,day,0,366,65535,,1,,
VariablesMatlab,VariablesMatlab,v2025.0.1,v2025.0.1,115,1,calculated_from_rare_observation,,,,,uint8,1,unitless,0,1,255,,1,,
,,,,,,,,,,,,,,,,,,,,
,mod09ga,,v061,13,1,solar_azimuth,SolarAzimuth_1,,,,int16,100,degree,-18000,18000,-32767,-32767,2,,
,mod09ga,,v061,14,1,solar_zenith,SolarZenith_1,,,,int16,100,degree,0,18000,-32767,-32767,2,,
,mod09ga,,v061,10,1,num_observations_1km,num_observations_1km,,,,int8,1,,0,127,-1,-1,2,,
,mod09ga,,v061,11,1,state_1km,state_1km_1,,,,uint16,1,Bit field,0,57335,65535,65535,2,,
,mod09ga,,v061,12,1,sensor_zenith,SensorZenith_1,,,,int16,100,degree,0,18000,-32767,-32767,2,,
,mod09ga,,v061,8,1,num_observations_500m,num_observations_500m,,,,int8,1,,0,127,-1,-1,1,,
,mod09ga,,v061,9,1,QC_500m,QC_500m_1,,,,uint32,1,,0,4294966019,4294967295,787410671,1,,
,mod09ga,,v061,1,1,reflectance_1_620_670,sur_refl_b01_1,,,,int16,10000,,-100,16000,-28672,-32768,1,,
,mod09ga,,v061,2,1,reflectance_2_841_876,sur_refl_b02_1,,,,int16,10000,,-100,16000,-28672,-32768,1,,
,mod09ga,,v061,3,1,reflectance_3_459_479,sur_refl_b03_1,,,,int16,10000,,-100,16000,-28672,-32768,1,,
,mod09ga,,v061,4,1,reflectance_4_545_565,sur_refl_b04_1,,,,int16,10000,,-100,16000,-28672,-32768,1,,
,mod09ga,,v061,5,1,reflectance_5_1230_1250,sur_refl_b05_1,,,,int16,10000,,-100,16000,-28672,-32768,1,,
,mod09ga,,v061,6,1,reflectance_6_1628_1652,sur_refl_b06_1,,,,int16,10000,,-100,16000,-28672,-32768,1,,
,mod09ga,,v061,7,1,reflectance_7_2105_2155,sur_refl_b07_1,,,,int16,10000,,-100,16000,-28672,-32768,1,,
,mod09ga,,v061,68,1,sensor_azimuth,SensorAzimuth_1,,,,int16,100,degree,-18000,18000,-32767,-32767,2,,
,mod09ga,,v061,69,1,range,Range_1,,,,uint16,0.04,meter,27000,65535,65535,65535,,,
,mod09ga,,v061,70,1,gflags,gflags_1,,,,uint8,1,Bit field,0,248,255,255,,,
,mod09ga,,v061,71,1,orbit_pnt,orbit_pnt_1,,,,int8,1,,0,15,-1,-1,,,
,mod09ga,,v061,72,1,obscov,obscov_500m_1,,,,int8,100,,0,100,-1,-1,1,,
,mod09ga,,v061,73,1,iobs_res,iobs_res_1,,,,uint8,1,,0,254,255,255,,,
,mod09ga,,v061,74,1,q_scan,q_scan_1,,,,uint8,1,,0,254,255,255,,,
,mod09ga,,v061,100,1,metaData,,,,,struct,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,vnp09ga,,v002,13,1,solar_azimuth,/HDFEOS/GRIDS/VIIRS_Grid_1km_2D/Data Fields/SolarAzimuth_1,,,,int16,100,degree,-18000,18000,-32768,,2,,
,vnp09ga,,v002,14,1,solar_zenith,/HDFEOS/GRIDS/VIIRS_Grid_1km_2D/Data Fields/SolarZenith_1,,,,int16,100,degree,0,18000,-32768,,2,,
,vnp09ga,,v002,10,1,num_observations_1km,/HDFEOS/GRIDS/VIIRS_Grid_1km_2D/Data Fields/num_observations_1km,,,,int8,1,,0,127,-1,,2,,
,vnp09ga,,v002,11,0,state_1km,,,,,,,,,,,,,,
,vnp09ga,,v002,12,1,sensor_zenith,/HDFEOS/GRIDS/VIIRS_Grid_1km_2D/Data Fields/SensorZenith_1,,,,int16,100,degree,0,18000,-32768,,2,,
,vnp09ga,,v002,8,1,num_observations_500m,/HDFEOS/GRIDS/VIIRS_Grid_500m_2D/Data Fields/num_observations_500m,,,,int8,1,,0,127,-1,,1,,
,vnp09ga,,v002,9,0,QC_500m,,,,,,,,,,,,,,
,vnp09ga,,v002,1,1,reflectance_1_620_670,/HDFEOS/GRIDS/VIIRS_Grid_500m_2D/Data Fields/SurfReflect_I1_1,,,,int16,10000,,-100,16000,-28672,,1,"Beware doesnt correspond to order of reflectance bands in vnp09ga, and wave length range slightly different",
,vnp09ga,,v002,2,1,reflectance_2_841_876,/HDFEOS/GRIDS/VIIRS_Grid_500m_2D/Data Fields/SurfReflect_I2_1,,,,int16,10000,,-100,16000,-28672,,1,"Beware doesnt correspond to order of reflectance bands in vnp09ga, and wave length range slightly different",
,vnp09ga,,v002,3,1,reflectance_3_459_479,/HDFEOS/GRIDS/VIIRS_Grid_1km_2D/Data Fields/SurfReflect_M2_1,,,,int16,10000,,-100,16000,-28672,,2,"Beware doesnt correspond to order of reflectance bands in vnp09ga, and wave length range slightly different",
,vnp09ga,,v002,4,1,reflectance_4_545_565,/HDFEOS/GRIDS/VIIRS_Grid_1km_2D/Data Fields/SurfReflect_M4_1,,,,int16,10000,,-100,16000,-28672,,2,"Beware doesnt correspond to order of reflectance bands in vnp09ga, and wave length range slightly different",
,vnp09ga,,v002,5,1,reflectance_5_1230_1250,/HDFEOS/GRIDS/VIIRS_Grid_1km_2D/Data Fields/SurfReflect_M8_1,,,,int16,10000,,-100,16000,-28672,,2,"Beware doesnt correspond to order of reflectance bands in vnp09ga, and wave length range slightly different",
,vnp09ga,,v002,6,1,reflectance_6_1628_1652,/HDFEOS/GRIDS/VIIRS_Grid_500m_2D/Data Fields/SurfReflect_I3_1,,,,int16,10000,,-100,16000,-28672,,1,"Beware doesnt correspond to order of reflectance bands in vnp09ga, and wave length range slightly different",
,vnp09ga,,v002,7,1,reflectance_7_2105_2155,/HDFEOS/GRIDS/VIIRS_Grid_1km_2D/Data Fields/SurfReflect_M11_1,,,,int16,10000,,-100,16000,-28672,,2,"Beware doesnt correspond to order of reflectance bands in vnp09ga, and wave length range slightly different",
,vnp09ga,,v002,15,0,cloud,,,,,,,,,,,,,,
,vnp09ga,,v002,16,0,cloudshadow,,,,,,,,,,,,,,
,vnp09ga,,v002,17,0,landwater,,,,,,,,,,,,,,
,vnp09ga,,v002,18,0,aerosol,,,,,,,,,,,,,,
,vnp09ga,,v002,19,0,cirrus,,,,,,,,,,,,,,
,vnp09ga,,v002,20,0,Intcloudflag,,,,,,,,,,,,,,
,vnp09ga,,v002,21,0,Intfireflag,,,,,,,,,,,,,,
,vnp09ga,,v002,22,0,MOD35snow,,,,,,,,,,,,,,
,vnp09ga,,v002,23,0,cloudadj,,,,,,,,,,,,,,
,vnp09ga,,v002,24,0,saltpan,,,,,,,,,,,,,,
,vnp09ga,,v002,25,0,Intsnow,,,,,,,,,,,,,,
,vnp09ga,,v002,26,0,modland,,,,,,,,,,,,,,
