name,id,subdivisionType,code,landSubdivisionName,idInDelineationFile,sourceRegionName,sourceRegionId,lowIllumination,percentCoverage,exportToSnowTodayWebsite,used,root,CRS,comment,countryType,sovereignCode,sovereignName,otherCodeForBigArea_adm0_A3,adm1Code,admGroupId,name2,id2,remarksForDeveloper,versionForProd,versionForIntegration
"Id: Unique id uint16 used in the stat files (<65535, (max(‘uint16’)) ). Called snowtod_id in the shapefiles. NB: let value below field id to keep type integer when import into qgis.
NB: Beware this 65535 pseudo id is used in code and then really mustn’t be used as id.",0,"WARNING: Dont shift position 2 for id. Column used in bash script, keep at 2 position.","Unique code of the land subdivision in this configuration file and more generally for the full modis. For country, code adm0_A3 or iso3_code. For Provinces (States) code iso 3166-2. For hucx, huc code. For hydrosheds, pfaf_id",Part of the filename of the land subdivision group mask file,"id in the data of the land subdivision group file (mask). Should be unique in the file, but two subdivisions can have the same id if their mask is extracted from distinct files.","region from which the data are extracted for the stats. MUST be filled for used land subdivisions, otherwise the landsubdivision won’t appear in lists","WARNING: Column used in bash script, keep at 8 position.",deprecated?,deprecated?,"deprecated. SnowToday website handle this property on their side, we export everything.","WARNING: Dont shift this column of position 12, is used in bash script. Meaning: 1: used in the website",1: upper-level Region in the website,"Coordinate reference system projection and code, e.g. EPSG:3875",comment line,"Maybe sovereign country, dependency, or indeterminate for Country. For Province, maybe State, Province, Region, District, etc ...\",Code of sovereign country. Sovereign de facto.,Name of sovereign country de facto.,,For Provinces only.,,Id: Unique id used in the stat files. Called snowtod_id in the shapefiles. NB: let value below field id to keep type integer when import into qgis,0,"change groupadm0 in filenames into adm0group
Stupid things, AMAndeS versus ASHimalaya_ (without S, not very consistent)",Version of geotiffs and stats for production web-app. Necessary only for root subdivisions.,Version of geotiffs and stats for integration web-app. Necessary only for root subdivisions.
Afghanistan,2001,adm0,AFG,,,ASHimalaya,2,,,,1,0,,,Sovereign country,AFG,Afghanistan,,,,Afghanistan,2001,,,
Angola,2002,adm0,AGO,,,,,,,,0,0,,,Sovereign country,AGO,Angola,,,,Angola,2002,,,
Albania,2003,adm0,ALB,,,,,,,,0,0,,,Sovereign country,ALB,Albania,,,,Albania,2003,,,
Andorra,2004,adm0,AND,,,,,,,,0,0,,,Sovereign country,AND,Andorra,,,,Andorra,2004,,,
United Arab Emirates,2005,adm0,ARE,,,,,,,,0,0,,,Sovereign country,ARE,United Arab Emirates,,,,United Arab Emirates,2005,,,
Argentina,2006,adm0,ARG,,,,,,,,0,0,,,Sovereign country,ARG,Argentina,,,,Argentina,2006,,,
Armenia,2007,adm0,ARM,,,,,,,,0,0,,,Sovereign country,ARM,Armenia,,,,Armenia,2007,,,
Antarctica,2008,adm0,ATA,,,,,,,,0,0,,,Indeterminate,ATA,Antarctica,,,,Antarctica,2008,,,
Antigua and Barbuda,2009,adm0,ATG,,,,,,,,0,0,,,Sovereign country,ATG,Antigua and Barbuda,,,,Antigua and Barbuda,2009,,,
Ashmore and Cartier Islands,2010,adm0,ATC,,,,,,,,0,0,,,Dependency,AU1,Australia,,,,Ashmore and Cartier Islands,2010,,,
Australia,2011,adm0,AUS,,,,,,,,0,0,,,Country,AU1,Australia,,,,Australia,2011,,,
Coral Sea Islands,2012,adm0,CSI,,,,,,,,0,0,,,Dependency,AU1,Australia,,,,Coral Sea Islands,2012,,,
