name,type,shortName,longName,atmosphericProfile,stcConfId,spiresConfId,snowCoverDayConfId,mosaicConfId,statisticConfId,publishConfId,geotiffCropXLeft,geotiffCropXRight,geotiffCropYTop,geotiffCropYBottom,used,comment,commentOnBigRegion,id,bigRegionId,versionOfAncillary,historicStartWaterYear,startDateForHistJplIngest,startDateForNrtJplIngest,endDateForJplIngest,startDateForDaacIngest,boxMinLongitude,boxMaxLongitude,boxMinLatitude,boxMaxLatitude,boxLongitude1,boxLongitude2,boxLongitude3,boxLongitude4,boxLatitude1,boxLatitude2,boxLatitude3,boxLatitude4,firstMonthOfWaterYear,,,,,,,,,,,,,,,lon,ul,lat,2:,ur,lon,ur,lat,3:,lr,lon,lr,lat
NB:This line should contain a numeric for Matlab,0,,,,"id of the group of conf parameters to build raw, gap and stc cubes",id of the group of conf parameters to build spires,id of the group of conf params to build snow_cover_days variable,Id of the group of conf params to build daily Mosaics,"Id of the group of conf params to generate statistic files. Used only for big Regions, not used at the tile level.",Id of the group of conf params to generate geotiffs (historic and nrt web),Only for westernUS website projection.,Only for westernUS website projection.,Only for westernUS website projection.,Only for westernUS website projection.,,comment line,Big region the tile is historically associated with. For info only,"Id indicated in toolsRegion.sh. NB: for region of type bigRegion, this id differs from the id of the group0 landsubdivision indicated in configuration_of_landsubdivisions.csv. WARNING: Column used in bash script, keep at 18 position.","WARNING: Column used in bash script, keep at 19 position.","Version of ancillary files, v3.1, v3.2, or test","Historic: understood as all historics, including the nrt jpl files from the last years",,,,," Longitude/Latitude of each corner of the modis tile, extracted from https://modis-land.gsfc.nasa.gov/MODLAND_grid.html Table of tile bounding coordinates",,,,"Longitude/Latitude of each corner of the modis tile, collected here G-ring https://modis-land.gsfc.nasa.gov/MODLAND_grid.html",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h07v03,modisTile,,,mlw,5,6,3,1,4,2,0,0,0,0,1,default conf,USAlaska,255,1,v3.2,2001,2000-09-01,2018-12-30,2023-09-30,,-180,-155.5594,50,56.2583,140,160,-155.572382686041,-171.129620954645,60,60,50,50,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
h08v03,modisTile,,,mlw,5,6,3,1,4,2,0,0,0,0,1,default conf,USAlaska,291,1,v3.2,2001,2000-09-01,2018-12-30,2023-09-30,,-180,-140.0022,50,60,160,-180,-140.015144417437,-155.572382686041,60,60,50,50,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
h08v04,modisTile,,,mlw,5,6,3,1,4,2,0,0,0,0,1,default conf,westernUS,292,5,v3.1,2001,2000-09-01,2018-12-30,2023-09-30,2023-10-01,-155.5724,-117.4758,40,50,-155.572382686041,-140.015144417437,-117.486656039905,-130.540728933228,50,50,40,40,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
h08v05,modisTile,,,mlw,5,6,3,1,4,2,0,0,0,0,1,default conf,westernUS,293,5,v3.1,2001,2000-09-01,2018-12-30,2023-09-30,2023-10-01,-130.5407,-103.9134,30,40,-130.540728933228,-117.486656039905,-103.923048454133,-115.470053837925,40,40,30,30,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
h09v02,modisTile,,,mlw,5,6,3,1,4,2,0,0,0,0,1,default conf,USAlaska,326,1,v3.2,2001,2000-09-01,2018-12-30,2023-09-30,,-180,-159.9833,60,63.6167,96.857603985322,126.095647986953,-160,-180,70,70,60,60,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
h09v03,modisTile,,,mlw,5,6,3,1,4,2,0,0,0,0,1,default conf,USAlaska,327,1,v3.2,2001,2000-09-01,2018-12-30,2023-09-30,,-180,-124.4449,50,60,-180,-160,-124.457906148833,-140.015144417437,60,60,50,50,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
h09v04,modisTile,,,mlw,5,6,3,1,4,2,0,0,0,0,1,default conf,westernUS,328,5,v3.1,2001,2000-09-01,2018-12-30,2023-09-30,2023-10-01,-140.0151,-104.4217,40,50,-140.015144417437,-124.457906148833,-104.432583146582,-117.486656039905,50,50,40,40,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
h09v05,modisTile,,,mlw,5,6,3,1,4,2,0,0,0,0,1,default conf,westernUS,329,5,v3.1,2001,2000-09-01,2018-12-30,2023-09-30,2023-10-01,-117.4867,-92.3664,30,40,-117.486656039905,-104.432583146582,-92.3760430703401,-103.923048454133,40,40,30,30,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
h10v02,modisTile,,,mlw,5,6,3,1,4,2,0,0,0,0,1,default conf,USAlaska,362,1,v3.2,2001,2000-09-01,2018-12-30,2023-09-30,,-180,-139.9833,60,67.1167,126.095647986953,155.333691988584,-140,-160,70,70,60,60,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
h10v03,modisTile,,,mlw,5,6,3,1,4,2,0,0,0,0,1,default conf,USAlaska,363,1,v3.2,2001,2000-09-01,2018-12-30,2023-09-30,,-160,-108.8877,50,60,-160,-140,-108.900667880229,-124.457906148833,60,60,50,50,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
h10v04,modisTile,,,mlw,5,6,3,1,4,2,0,0,0,0,1,default conf,westernUS,364,5,v3.1,2001,2000-09-01,2018-12-30,2023-09-30,2023-10-01,-124.4579,-91.3676,40,50,-124.457906148833,-108.900667880229,-91.3785102532595,-104.432583146582,50,50,40,40,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
h10v09,modisTile,,,mlw,5,6,3,1,4,2,0,0,0,0,1,default conf,AMAndes,369,4,v3.2,2001,2000-09-01,2018-12-30,2023-09-30,,-81.2341,-69.9917,-10,0,-80,-70,-71.0798628320022,-81.2341289508596,0,0,-10,-10,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
h10v10,modisTile,,,mlw,5,6,3,1,4,2,0,0,0,0,1,default conf,AMAndes,370,4,v3.2,2001,,2017-04-01,2023-09-30,,-85.1342,-71.0714,-20,-10,-81.2341289508596,-71.0798628320022,-74.4924440733139,-85.134221798073,-10,-10,-20,-20,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
h11v02,modisTile,,,mlw,5,6,3,1,4,2,0,0,0,0,1,default conf,USAlaska,398,1,v3.2,2001,2000-09-01,2018-12-30,2023-09-30,,-180,-119.9833,60,70,155.333691988584,-175.428264009785,-120,-140,70,70,60,60,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
h11v03,modisTile,,,mlw,5,6,3,1,4,2,0,0,0,0,1,default conf,USAlaska,399,1,v3.2,2001,2000-09-01,2018-12-30,2023-09-30,,-140,-93.3305,50,60,-140,-120,-93.3434296116247,-108.900667880229,60,60,50,50,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
h11v10,modisTile,,,mlw,5,6,3,1,4,2,0,0,0,0,1,default conf,AMAndes,406,4,v3.2,2001,,2017-04-01,2023-09-30,,-74.4924,-60.9171,-20,-10,-71.0798628320022,-60.9255967131447,-63.8506663485547,-74.4924440733139,-10,-10,-20,-20,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
h11v11,modisTile,,,mlw,5,6,3,1,4,2,0,0,0,0,1,default conf,AMAndes,407,4,v3.2,2001,,2017-04-01,2023-09-30,,-80.829,-63.8418,-30,-20,-74.4924440733139,-63.8506663485547,-69.2820323027551,-80.8290376865476,-20,-20,-30,-30,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
h11v12,modisTile,,,mlw,5,6,3,1,4,2,0,0,0,0,1,default conf,AMAndes,408,4,v3.2,2001,,2017-04-01,2023-09-30,,-91.3785,-69.2724,-40,-30,-80.8290376865476,-69.2820323027551,-78.3244373599367,-91.3785102532595,-30,-30,-40,-40,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
h12v01,modisTile,,,mlw,5,6,3,1,4,2,0,0,0,0,1,default conf,USAlaska,433,1,v3.2,2001,2000-09-01,2018-12-30,2023-09-30,,-180,-146.1659,70,73.875,14.4737710113817,72.0614758428181,-146.190220008154,-175.428264009785,80,80,70,70,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
h12v02,modisTile,,,mlw,5,6,3,1,4,2,0,0,0,0,1,default conf,USAlaska,434,1,v3.2,2001,2000-09-01,2018-12-30,2023-09-30,,-175.4283,-99.9833,60,70,-175.428264009785,-146.190220008154,-100,-120,70,70,60,60,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
