id,landSubdivisionStatId,output_name
unique id of the variable. NB: must be unique per sensor/platform/algorithm/output_name. Mustnt be changed,"id of the daily or aggregate statistic to apply to the variable on the landsubdivisions (to transfer to the website, class Subdivision). The descriptions associated to these id are in configuration_of_landsubdivisionstats.csv","variable name in Mosaics, PublicMosaics/geotiffs"
48,3,albedo_clean_mu0
49,3,albedo_observed_mu0
50,3,albedo_clean_muZ
51,3,albedo_observed_muZ
43,3,deltavis
41,3,grain_size
42,3,drfs_grnsz
44,3,radiative_forcing
13,3,solar_azimuth
14,3,solar_zenith
45,2,snow_cover_days
40,1,snow_fraction
36,1,viewable_snow_fraction
46,3,viewable_snow_fraction_status
47,3,days_without_observation
48,10,albedo_clean_mu0
49,10,albedo_observed_mu0
50,10,albedo_clean_muZ
51,10,albedo_observed_muZ
43,10,deltavis
41,10,grain_size
42,10,drfs_grnsz
44,10,radiative_forcing
13,10,solar_azimuth
14,10,solar_zenith
45,10,snow_cover_days
40,10,snow_fraction
36,10,viewable_snow_fraction
46,10,viewable_snow_fraction_status
47,10,days_without_observation
48,11,albedo_clean_mu0
49,11,albedo_observed_mu0
50,11,albedo_clean_muZ
51,11,albedo_observed_muZ
43,11,deltavis
41,11,grain_size
42,11,drfs_grnsz
44,11,radiative_forcing
13,11,solar_azimuth
14,11,solar_zenith
45,11,snow_cover_days
40,11,snow_fraction
36,11,viewable_snow_fraction
46,11,viewable_snow_fraction_status
47,11,days_without_observation
48,12,albedo_clean_mu0
49,12,albedo_observed_mu0
50,12,albedo_clean_muZ
51,12,albedo_observed_muZ
43,12,deltavis
41,12,grain_size
42,12,drfs_grnsz
44,12,radiative_forcing
13,12,solar_azimuth
14,12,solar_zenith
45,12,snow_cover_days
40,12,snow_fraction
36,12,viewable_snow_fraction
46,12,viewable_snow_fraction_status
47,12,days_without_observation
48,21,albedo_clean_mu0
49,21,albedo_observed_mu0
50,21,albedo_clean_muZ
51,21,albedo_observed_muZ
43,21,deltavis
41,21,grain_size
42,21,drfs_grnsz
44,21,radiative_forcing
13,21,solar_azimuth
14,21,solar_zenith
45,21,snow_cover_days
40,22,snow_fraction
36,22,viewable_snow_fraction
46,21,viewable_snow_fraction_status
47,21,days_without_observation
48,31,albedo_clean_mu0
49,31,albedo_observed_mu0
50,31,albedo_clean_muZ
51,31,albedo_observed_muZ
43,31,deltavis
41,31,grain_size
42,31,drfs_grnsz
44,31,radiative_forcing
13,31,solar_azimuth
14,31,solar_zenith
45,31,snow_cover_days
40,32,snow_fraction
36,32,viewable_snow_fraction
46,31,viewable_snow_fraction_status
47,31,days_without_observation
48,41,albedo_clean_mu0
49,41,albedo_observed_mu0
50,41,albedo_clean_muZ
51,41,albedo_observed_muZ
43,41,deltavis
41,41,grain_size
42,41,drfs_grnsz
44,41,radiative_forcing
13,41,solar_azimuth
14,41,solar_zenith
45,41,snow_cover_days
40,42,snow_fraction
36,42,viewable_snow_fraction
46,41,viewable_snow_fraction_status
47,41,days_without_observation
48,51,albedo_clean_mu0
49,51,albedo_observed_mu0
50,51,albedo_clean_muZ
51,51,albedo_observed_muZ
43,51,deltavis
41,51,grain_size
42,51,drfs_grnsz
44,51,radiative_forcing
13,51,solar_azimuth
14,51,solar_zenith
45,52,snow_cover_days
40,52,snow_fraction
36,51,viewable_snow_fraction
46,51,viewable_snow_fraction_status
47,51,days_without_observation
48,60,albedo_clean_mu0
49,60,albedo_observed_mu0
50,60,albedo_clean_muZ
51,60,albedo_observed_muZ
43,60,deltavis
41,60,grain_size
42,60,drfs_grnsz
44,60,radiative_forcing
13,60,solar_azimuth
14,60,solar_zenith
45,60,snow_cover_days
40,60,snow_fraction
36,60,viewable_snow_fraction
46,60,viewable_snow_fraction_status
47,60,days_without_observation
48,70,albedo_clean_mu0
49,70,albedo_observed_mu0
50,70,albedo_clean_muZ
51,70,albedo_observed_muZ
43,70,deltavis
41,70,grain_size
42,70,drfs_grnsz
44,70,radiative_forcing
13,70,solar_azimuth
14,70,solar_zenith
45,70,snow_cover_days
40,70,snow_fraction
36,70,viewable_snow_fraction
46,70,viewable_snow_fraction_status
47,70,days_without_observation
