id,outputVersion,outputDataLabel,regionId,inputVersion,regionName,commentOnBigRegion
0,version of stat  file,"Data label of the files used as input, as defined in dataLabel of configuration_of_filepaths.csv",region id as in configuration_of_regions.csv,version of daily Mosaic files,Name of the region,For info only
2023001,v2023.0e,SubdivisionStatsDailyCsv,255,v2023.1a,h07v03,USAlaska
2023001,v2023.0e,SubdivisionStatsDailyCsv,291,v2023.1a,h08v03,USAlaska
2023001,v2023.0e,SubdivisionStatsDailyCsv,292,v2023.0e,h08v04,westernUS
2023001,v2023.0e,SubdivisionStatsDailyCsv,293,v2023.0e,h08v05,westernUS
2023001,v2023.0e,SubdivisionStatsDailyCsv,326,v2023.1a,h09v02,USAlaska
2023001,v2023.0e,SubdivisionStatsDailyCsv,327,v2023.1a,h09v03,USAlaska
2023001,v2023.0e,SubdivisionStatsDailyCsv,328,v2023.0e,h09v04,westernUS
2023001,v2023.0e,SubdivisionStatsDailyCsv,329,v2023.0e,h09v05,westernUS
2023001,v2023.0e,SubdivisionStatsDailyCsv,362,v2023.1a,h10v02,USAlaska
2023001,v2023.0e,SubdivisionStatsDailyCsv,363,v2023.1a,h10v03,USAlaska
2023001,v2023.0e,SubdivisionStatsDailyCsv,364,v2023.0e,h10v04,westernUS
2023001,v2023.0e,SubdivisionStatsDailyCsv,398,v2023.1a,h11v02,USAlaska
2023001,v2023.0e,SubdivisionStatsDailyCsv,399,v2023.1a,h11v03,USAlaska
2023001,v2023.0e,SubdivisionStatsDailyCsv,433,v2023.1a,h12v01,USAlaska
2023001,v2023.0e,SubdivisionStatsDailyCsv,434,v2023.1a,h12v02,USAlaska
2023001,v2023.0e,SubdivisionStatsDailyCsv,469,v2023.1a,h13v01,USAlaska
2023001,v2023.0e,SubdivisionStatsDailyCsv,470,v2023.1a,h13v02,USAlaska
2023104,v2023.1d,SubdivisionStatsDailyCsv,369,v2023.1d,h10v09,AMAndes
2023104,v2023.1d,SubdivisionStatsDailyCsv,370,v2023.1d,h10v10,AMAndes
2023104,v2023.1d,SubdivisionStatsDailyCsv,406,v2023.1d,h11v10,AMAndes
2023104,v2023.1d,SubdivisionStatsDailyCsv,407,v2023.1d,h11v11,AMAndes
2023104,v2023.1d,SubdivisionStatsDailyCsv,408,v2023.1d,h11v12,AMAndes
2023104,v2023.1d,SubdivisionStatsDailyCsv,444,v2023.1d,h12v12,AMAndes
2023104,v2023.1d,SubdivisionStatsDailyCsv,445,v2023.1d,h12v13,AMAndes
2023104,v2023.1d,SubdivisionStatsDailyCsv,481,v2023.1d,h13v13,AMAndes
2023104,v2023.1d,SubdivisionStatsDailyCsv,482,v2023.1d,h13v14,AMAndes
2023103,v2023.1c,SubdivisionStatsDailyCsv,796,v2023.1c,h22v04,ASHimalaya
2023103,v2023.1c,SubdivisionStatsDailyCsv,797,v2023.1c,h22v05,ASHimalaya
2023103,v2023.1c,SubdivisionStatsDailyCsv,832,v2023.1c,h23v04,ASHimalaya
2023103,v2023.1c,SubdivisionStatsDailyCsv,833,v2023.1c,h23v05,ASHimalaya
2023103,v2023.1c,SubdivisionStatsDailyCsv,834,v2023.1c,h23v06,ASHimalaya
2023103,v2023.1c,SubdivisionStatsDailyCsv,868,v2023.1c,h24v04,ASHimalaya
2023103,v2023.1c,SubdivisionStatsDailyCsv,869,v2023.1c,h24v05,ASHimalaya
2023103,v2023.1c,SubdivisionStatsDailyCsv,870,v2023.1c,h24v06,ASHimalaya
2023103,v2023.1c,SubdivisionStatsDailyCsv,905,v2023.1c,h25v05,ASHimalaya
2023103,v2023.1c,SubdivisionStatsDailyCsv,906,v2023.1c,h25v06,ASHimalaya
2023103,v2023.1c,SubdivisionStatsDailyCsv,941,v2023.1c,h26v05,ASHimalaya
2023103,v2023.1c,SubdivisionStatsDailyCsv,942,v2023.1c,h26v06,ASHimalaya
2023101,v2023.1a,SubdivisionStatsDailyCsv,255,v2023.1a,h07v03,USAlaska
2023101,v2023.1a,SubdivisionStatsDailyCsv,291,v2023.1a,h08v03,USAlaska
2023101,v2023.1a,SubdivisionStatsDailyCsv,326,v2023.1a,h09v02,USAlaska
2023101,v2023.1a,SubdivisionStatsDailyCsv,327,v2023.1a,h09v03,USAlaska
2023101,v2023.1a,SubdivisionStatsDailyCsv,362,v2023.1a,h10v02,USAlaska
2023101,v2023.1a,SubdivisionStatsDailyCsv,363,v2023.1a,h10v03,USAlaska
2023101,v2023.1a,SubdivisionStatsDailyCsv,398,v2023.1a,h11v02,USAlaska
2023101,v2023.1a,SubdivisionStatsDailyCsv,399,v2023.1a,h11v03,USAlaska
2023101,v2023.1a,SubdivisionStatsDailyCsv,433,v2023.1a,h12v01,USAlaska
2023101,v2023.1a,SubdivisionStatsDailyCsv,434,v2023.1a,h12v02,USAlaska
2023101,v2023.1a,SubdivisionStatsDailyCsv,469,v2023.1a,h13v01,USAlaska
2023101,v2023.1a,SubdivisionStatsDailyCsv,470,v2023.1a,h13v02,USAlaska
